"k"	"p"	"c"	"o"	"f"	"g"	"s"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_argentoratense"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_aurimucosum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_atypicum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_casei"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_diphtheriae"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_doosanense"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_glucuronolyticum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_falsenii"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Micrococcales"	"f"	"g_Tropheryma"	"s_Tropheryma_whipplei"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_urealyticum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_singulare"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_jeikeium"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_glutamicum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_pyruviciproducens"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_pseudotuberculosis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_kroppenstedtii"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_lactis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_resistens"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_simulans"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_stationis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_terpenotabidum"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_testudinoris"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_timonense"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_variabile"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Corynebacterium"	"s_Corynebacterium_ureicelerivorans"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Nocardiaceae"	"g_Rhodococcus"	"s_Rhodococcus_erythropolis"
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Mycobacteriaceae"	"g_Mycobacterium"	NA
"k_Bacteria"	"p_Actinobacteria"	"c_Actinobacteria"	"o_Corynebacteriales"	"f_Corynebacteriaceae"	"g_Turicella"	"s_Turicella_otitidis"
